k,x,y,vx,vy
576,8.449849,6.680667,0.976616,0.219435
577,8.486984,6.667179,0.985165,0.210753
578,8.598667,6.625509,1.029838,0.188467
579,8.692004,6.597506,1.065169,0.173034
580,8.713307,6.600966,1.065169,0.173034
581,8.771931,6.631855,1.083297,0.186357
582,8.793597,6.635582,1.083297,0.186357
583,8.890780,6.612782,1.119967,0.173476
584,8.967955,6.634901,1.146560,0.182530
585,9.091258,6.593356,1.195280,0.160592
586,9.109707,6.643126,1.192632,0.183188
587,9.174720,6.655549,1.212606,0.187438
588,9.899027,7.468422,1.552287,0.580043
589,9.986109,7.416707,1.579476,0.549323
590,10.017698,7.427694,1.579476,0.549323
591,10.113337,7.377504,1.610543,0.519648
592,9.322926,7.799183,1.211596,0.719110
593,9.300534,7.786957,1.188988,0.706208
594,9.387684,7.707760,1.219712,0.660963
595,9.430377,7.778329,1.228583,0.688765
596,9.508838,7.731026,1.254706,0.659158
597,9.309838,8.349085,1.146081,0.952357
598,9.340907,8.287453,1.150031,0.913250
599,9.408371,8.306697,1.171583,0.913725
