k,yx,yy,Sx,Sy,NIS,q,r
182,2.530031,0.426528,4.097316,4.097316,1.606658,1.000000,4.000000
183,1.800190,-0.220125,4.096963,4.096963,0.802824,1.000000,4.000000
184,-2.523822,-3.077817,4.096615,4.096615,3.867251,1.000000,4.000000
185,1.931554,-1.600018,4.096274,4.096274,1.535775,1.000000,4.000000
186,3.885134,-1.770390,4.095939,4.095939,4.450395,1.000000,4.000000
187,0.855839,-3.195921,4.095610,4.095610,2.672709,1.000000,4.000000
188,-1.215976,0.200658,4.095286,4.095286,0.370880,1.000000,4.000000
189,1.513666,1.632971,4.094969,4.094969,1.210700,1.000000,4.000000
190,-0.724743,-0.629454,4.094657,4.094657,0.225041,1.000000,4.000000
191,-3.115652,-0.091935,4.094351,4.094351,2.372962,1.000000,4.000000
192,-0.456138,-0.653459,4.094050,4.094050,0.155120,1.000000,4.000000
193,-0.783351,2.529822,4.093755,4.093755,1.713253,1.000000,4.000000
194,0.131845,2.751184,4.093465,4.093465,1.853295,1.000000,4.000000
195,-4.351793,-0.775901,4.093180,4.093180,4.773825,1.000000,4.000000
196,2.427401,1.438692,4.092900,4.092900,1.945347,1.000000,4.000000
197,-1.249374,-0.391974,4.092626,4.092626,0.418944,1.000000,4.000000
198,-1.205832,-0.226679,4.092357,4.092357,0.367860,1.000000,4.000000
199,0.406275,-0.951510,4.092092,4.092092,0.261585,1.000000,4.000000
200,1.908387,-0.297769,4.091833,4.091833,0.911720,1.000000,4.000000
201,-1.959022,-1.190783,4.091578,4.091578,1.284524,1.000000,4.000000
202,3.632725,0.063419,4.091328,4.091328,3.226511,1.000000,4.000000
203,0.783107,2.195232,4.091083,4.091083,1.327839,1.000000,4.000000
204,-1.384098,-0.044163,4.090842,4.090842,0.468773,1.000000,4.000000
205,-1.125549,-1.355844,4.090606,4.090606,0.759099,1.000000,4.000000
206,-3.827905,0.713115,4.090375,4.090375,3.706601,1.000000,4.000000
207,0.609626,1.565562,4.090148,4.090148,0.690104,1.000000,4.000000
208,-0.649632,3.278882,4.089925,4.089925,2.731857,1.000000,4.000000
209,-0.290001,-1.754622,4.089707,4.089707,0.773356,1.000000,4.000000
210,-1.816503,-0.853618,4.089492,4.089492,0.985048,1.000000,4.000000
211,-4.681721,3.069949,4.089282,4.089282,7.664695,1.000000,4.000000
212,0.097635,-0.728489,4.089076,4.089076,0.132115,1.000000,4.000000
213,2.181900,1.846618,4.088874,4.088874,1.998272,1.000000,4.000000
214,2.284208,-2.763304,4.088676,4.088676,3.143671,1.000000,4.000000
215,1.277197,0.254713,4.088482,4.088482,0.414851,1.000000,4.000000
216,1.151670,2.130599,4.088292,4.088292,1.434778,1.000000,4.000000
217,-0.857806,0.745230,4.088106,4.088106,0.315843,1.000000,4.000000
218,-3.075716,0.860659,4.087923,4.087923,2.495342,1.000000,4.000000
219,-1.145435,-0.762973,4.087744,4.087744,0.463373,1.000000,4.000000
220,1.089231,3.361551,4.087569,4.087569,3.054737,1.000000,4.000000
221,5.021279,-1.374998,4.087397,4.087397,6.631080,1.000000,4.000000
222,-1.008167,0.697435,4.087229,4.087229,0.367686,1.000000,4.000000
223,1.704201,1.627870,4.087064,4.087064,1.358985,1.000000,4.000000
224,-0.161628,-2.173204,4.086903,4.086903,1.161990,1.000000,4.000000
225,-0.964337,3.451557,4.086745,4.086745,3.142646,1.000000,4.000000
226,-1.433089,0.000456,4.086590,4.086590,0.502557,1.000000,4.000000
227,-0.199723,0.482973,4.086439,4.086439,0.066843,1.000000,4.000000
228,0.579427,-0.018496,4.086291,4.086291,0.082245,1.000000,4.000000
229,0.635291,-3.352273,4.086146,4.086146,2.848975,1.000000,4.000000
230,3.844718,1.528997,4.086004,4.086004,4.189836,1.000000,4.000000
231,-1.314016,1.465041,4.085865,4.085865,0.947898,1.000000,4.000000
232,-3.714181,-0.233078,4.085729,4.085729,3.389717,1.000000,4.000000
233,0.943345,-1.050905,4.085596,4.085596,0.488130,1.000000,4.000000
234,-0.648116,-1.670122,4.085466,4.085466,0.785556,1.000000,4.000000
235,-1.221564,0.890935,4.085339,4.085339,0.559558,1.000000,4.000000
236,1.842084,-2.485293,4.085215,4.085215,2.342582,1.000000,4.000000
237,3.160201,1.400049,4.085093,4.085093,2.924537,1.000000,4.000000
238,-2.723425,1.284833,4.084975,4.084975,2.219803,1.000000,4.000000
239,1.309948,-1.360544,4.084858,4.084858,0.873235,1.000000,4.000000
240,-1.283573,-1.255554,4.084745,4.084745,0.789272,1.000000,4.000000
241,0.426089,1.301521,4.084634,4.084634,0.459162,1.000000,4.000000
242,0.585427,4.771590,4.084526,4.084526,5.658134,1.000000,4.000000
243,2.173023,4.933122,4.084420,4.084420,7.114285,1.000000,4.000000
244,2.624781,-1.038131,4.084316,4.084316,1.950680,1.000000,4.000000
245,-0.160637,-1.754926,4.084215,4.084215,0.760383,1.000000,4.000000
246,0.936272,1.409467,4.084117,4.084117,0.701058,1.000000,4.000000
