k,zx,zy,valid
294,0.000000,0.000000,0
295,0.000000,0.000000,0
296,36.842940,-12.733314,1
297,5.674894,2.284098,1
298,-30.961005,-50.160503,1
299,-53.413798,-57.524524,1
300,-33.050967,-54.744886,1
301,3.311284,4.028830,1
302,0.000000,0.000000,0
303,8.837990,1.871858,1
304,7.280999,3.151562,1
305,5.805400,5.913002,1
306,0.000000,0.000000,0
307,-12.569650,-17.140972,1
308,0.000000,0.000000,0
309,7.558965,1.180968,1
310,6.689818,2.438415,1
311,4.814679,3.624305,1
312,6.310887,4.253377,1
313,4.784596,-0.132098,1
314,6.509868,0.248202,1
315,9.200174,1.256814,1
316,5.297630,3.079404,1
317,-43.314889,-10.084699,1
318,6.250253,3.895319,1
319,7.172796,3.148567,1
320,4.613465,3.664797,1
321,-19.492843,54.969674,1
322,0.000000,0.000000,0
323,67.596117,28.987464,1
324,5.433652,7.869764,1
325,6.249224,5.538966,1
326,10.173891,6.023639,1
327,5.260611,2.104312,1
328,10.022478,3.512620,1
329,4.585520,2.635095,1
330,6.363165,1.668680,1
331,6.043327,4.349143,1
332,0.000000,0.000000,0
333,7.408720,3.720581,1
334,0.000000,0.000000,0
335,-21.794464,22.397662,1
336,-62.257763,44.588138,1
337,9.596818,4.290038,1
338,5.817214,2.615237,1
339,9.736718,4.403991,1
340,-77.539077,-63.017594,1
341,63.943628,62.731369,1
342,5.861478,1.574321,1
343,-67.015042,-4.098531,1
344,0.000000,0.000000,0
345,9.003851,6.952317,1
346,7.172031,0.260630,1
347,-73.826509,-73.050419,1
348,7.381521,0.563766,1
349,18.973382,-64.004356,1
350,6.623953,3.009127,1
351,-43.879685,-61.158322,1
352,6.364318,4.005170,1
353,0.000000,0.000000,0
354,10.029223,0.198458,1
355,3.185887,4.054159,1
356,-57.409811,-75.523994,1
357,7.445578,3.228916,1
358,8.895355,6.119808,1
359,0.000000,0.000000,0
360,9.484403,3.893392,1
361,6.316997,4.043886,1
362,6.146872,5.488004,1
363,6.955008,4.294149,1
364,12.726279,-0.071832,1
365,1.142835,-17.167768,1
366,6.240422,-30.687382,1
367,60.472667,-52.537569,1
368,3.548054,7.930284,1
369,53.922056,-7.173727,1
370,10.094863,4.910360,1
371,6.774091,2.308903,1
372,13.345248,5.910208,1
373,0.000000,0.000000,0
374,12.828070,-16.625402,1
375,7.488053,4.678538,1
376,5.915530,5.057202,1
377,7.265130,2.626360,1
378,6.078373,6.440399,1
379,7.224286,5.520956,1
380,8.199294,2.408699,1
381,-3.124671,52.051597,1
382,8.085263,5.876220,1
383,7.052710,3.980943,1
384,0.000000,0.000000,0
385,0.000000,0.000000,0
386,8.006218,4.465393,1
387,7.803466,6.979877,1
388,7.201478,2.607399,1
389,7.095976,2.221476,1
390,30.483588,13.669371,1
391,7.923147,4.460314,1
392,6.735105,5.493309,1
393,5.832844,4.338849,1
394,7.574222,1.116095,1
395,11.167015,5.123562,1
