k,x,y,vx,vy
560,11.745858,5.345658,1.254737,0.723821
561,11.567139,5.235079,1.152834,0.661297
562,11.553611,5.107397,1.134542,0.590846
563,11.527323,5.135829,1.110054,0.599153
564,11.564498,5.172364,1.117541,0.611428
565,11.847473,5.364978,1.247847,0.701617
566,11.782571,5.259488,1.202920,0.641858
567,11.736171,5.323180,1.167692,0.667285
568,11.622879,5.330262,1.099372,0.664153
569,11.665784,5.297802,1.109830,0.641282
570,11.943549,5.313850,1.237609,0.642894
571,12.183622,5.419803,1.345265,0.689439
572,12.316494,5.400936,1.398247,0.673112
573,12.375810,5.473338,1.413921,0.702581
574,12.358897,5.543475,1.391327,0.730622
575,12.380697,5.582629,1.388313,0.742893
576,12.301140,5.753273,1.334654,0.820782
577,12.527452,5.694890,1.434459,0.783384
578,12.562899,5.770707,1.437839,0.813458
579,12.690502,5.892238,1.487259,0.866087
580,12.545601,5.823552,1.399940,0.823085
581,12.648358,5.850289,1.437318,0.828222
582,12.903093,5.852587,1.550308,0.821089
583,12.936961,5.714014,1.551738,0.743595
584,12.884220,5.629681,1.509852,0.693994
585,12.941292,5.525367,1.523289,0.634899
586,12.913467,5.460492,1.494145,0.596114
587,12.961135,5.397288,1.503037,0.558552
588,12.867596,5.299600,1.441239,0.504125
589,12.827530,5.479838,1.406795,0.589199
590,12.767913,5.589576,1.362920,0.638175
591,12.827996,5.486323,1.379332,0.580168
592,12.645745,5.568838,1.274417,0.615623
593,12.671195,5.697222,1.274397,0.673657
594,12.577842,5.768567,1.214978,0.702592
595,12.572362,5.859293,1.200089,0.740928
596,12.733801,5.910499,1.268806,0.759121
597,12.985675,5.848836,1.382051,0.720699
598,12.998714,5.819804,1.374751,0.698977
599,12.969822,5.669109,1.346558,0.616642
