k,yx,yy,Sx,Sy,NIS,q,r
187,-2.944944,2.718660,4.095610,4.095610,3.922202,1.000000,4.000000
188,-0.700659,-8.366778,4.095286,4.095286,17.213424,1.000000,4.000000
189,10.912755,1.411792,4.094969,4.094969,29.568328,1.000000,4.000000
190,3.723476,0.516266,4.094657,4.094657,3.451034,1.000000,4.000000
191,-10.963917,-10.771031,4.094351,4.094351,57.694762,1.000000,4.000000
192,15.248178,0.510420,4.094050,4.094050,56.855065,1.000000,4.000000
193,6.316134,-4.663275,4.093755,4.093755,15.057006,1.000000,4.000000
194,2.452671,10.647499,4.093465,4.093465,29.164742,1.000000,4.000000
195,3.774237,1.415940,4.093180,4.093180,3.969958,1.000000,4.000000
196,-5.184608,-3.197555,4.092900,4.092900,9.065581,1.000000,4.000000
197,-8.450009,-7.248560,4.092626,4.092626,30.284778,1.000000,4.000000
198,4.293252,-2.961589,4.092357,4.092357,6.647276,1.000000,4.000000
199,-2.430265,-4.576953,4.092092,4.092092,6.562581,1.000000,4.000000
200,3.884524,-0.599244,4.091833,4.091833,3.775478,1.000000,4.000000
201,1.057617,-3.691881,4.091578,4.091578,3.604608,1.000000,4.000000
202,0.767643,11.025724,4.091328,4.091328,29.857264,1.000000,4.000000
203,-5.663812,-9.497766,4.091083,4.091083,29.890942,1.000000,4.000000
204,-11.315545,9.913141,4.090842,4.090842,55.321597,1.000000,4.000000
205,0.493060,2.606957,4.090606,4.090606,1.720853,1.000000,4.000000
206,12.163607,-1.963650,4.090375,4.090375,37.113773,1.000000,4.000000
207,8.716369,3.281791,4.090148,4.090148,21.208337,1.000000,4.000000
208,-13.119764,-0.851791,4.089925,4.089925,42.263310,1.000000,4.000000
209,-5.271075,1.270311,4.089707,4.089707,7.188271,1.000000,4.000000
210,-2.456312,-0.810936,4.089492,4.089492,1.636165,1.000000,4.000000
211,6.904616,0.123121,4.089282,4.089282,11.661919,1.000000,4.000000
212,1.624841,9.157661,4.089076,4.089076,21.154620,1.000000,4.000000
213,8.113689,6.692998,4.088874,4.088874,27.055901,1.000000,4.000000
214,-0.270618,-1.670138,4.088676,4.088676,0.700128,1.000000,4.000000
